Player;Pos;Age;Team
Federico Valverde;MF,DF;26;Real Madrid
Kylian Mbappé;FW;25;Real Madrid
Aurélien Tchouaméni;DF,MF;24;Real Madrid
Thibaut Courtois;GK;32;Real Madrid
Jude Bellingham;MF;21;Real Madrid
Antonio Rüdiger;DF;31;Real Madrid
Lucas Vázquez;DF;33;Real Madrid
Vinicius Júnior;FW,MF;24;Real Madrid
Fran Garcia;DF;24;Real Madrid
Rodrygo;MF,FW;23;Real Madrid
Raúl Asencio;DF;21;Real Madrid
Luka Modrić;MF;38;Real Madrid
Brahim Díaz;MF,FW;24;Real Madrid
Dani Ceballos;MF;27;Real Madrid
Arda Güler;MF,FW;19;Real Madrid
Ferland Mendy;DF;29;Real Madrid
Eduardo Camavinga;MF,DF;21;Real Madrid
Éder Militão;DF;26;Real Madrid
Andriy Lunin;GK;25;Real Madrid
Dani Carvajal;DF;32;Real Madrid
David Alaba;DF;32;Real Madrid
Endrick;FW;18;Real Madrid
Jacobo Ramón;DF;19;Real Madrid
Jesús Vallejo;DF;27;Real Madrid
Fran;GK;19;Real Madrid
Gonzalo García;FW;20;Real Madrid
Víctor Muñoz;MF;21;Real Madrid
Chema;MF;19;Real Madrid
Lorenzo Aguado;DF;21;Real Madrid
Daniel Yáñez;MF;17;Real Madrid
Diego Aguado;DF;17;Real Madrid
David Jiménez;DF;20;Real Madrid
Youssef Lekhedim;DF;18;Real Madrid
Sergio Mestre;GK;19;Real Madrid
Mario Rivas;DF;17;Real Madrid
Victor Valdepeñas;DF;17;Real Madrid
Joshua Kimmich;MF;29;Bayern Munich
Harry Kane;FW;31;Bayern Munich
Michael Olise;MF;22;Bayern Munich
Kim Min-jae;DF;27;Bayern Munich
Manuel Neuer;GK;38;Bayern Munich
Jamal Musiala;MF;21;Bayern Munich
Dayot Upamecano;DF;25;Bayern Munich
Konrad Laimer;DF;27;Bayern Munich
Raphaël Guerreiro;DF,MF;30;Bayern Munich
Aleksandar Pavlovic;MF;20;Bayern Munich
Leroy Sané;MF;28;Bayern Munich
Alphonso Davies;DF;23;Bayern Munich
Eric Dier;DF;30;Bayern Munich
Kingsley Coman;MF;28;Bayern Munich
Leon Goretzka;MF;29;Bayern Munich
Serge Gnabry;MF,FW;29;Bayern Munich
Thomas Müller;MF,FW;34;Bayern Munich
Josip Stanišić;DF;24;Bayern Munich
Jonas Urbig;GK;20;Bayern Munich
João Palhinha;MF;29;Bayern Munich
Sacha Boey;DF;23;Bayern Munich
Daniel Peretz;GK;24;Bayern Munich
Hiroki Ito;DF;25;Bayern Munich
Mathys Tel;MF;19;Bayern Munich
Sven Ulreich;GK;35;Bayern Munich
Gabriel Vidovic;MF;20;Bayern Munich
Adam Aznou;DF;18;Bayern Munich
Jonah Kusi-Asare;FW;17;Bayern Munich
Arijon Ibrahimović;MF;18;Bayern Munich
Lennart Karl;MF;16;Bayern Munich
Wisdom Mike;FW;15;Bayern Munich
Noel Nkili;MF;18;Bayern Munich
Anthony Pavlesic;GK;18;Bayern Munich
Max Schmitt;GK;18;Bayern Munich
Mike Maignan;GK;29;Milan
Tijjani Reijnders;MF;26;Milan
Theo Hernández;DF,MF;26;Milan
Youssouf Fofana;MF;25;Milan
Christian Pulisic;MF,FW;25;Milan
Rafael Leão;MF,FW;25;Milan
Matteo Gabbia;DF;24;Milan
Strahinja Pavlović;DF;23;Milan
Malick Thiaw;DF;22;Milan
Fikayo Tomori;DF;26;Milan
Yunus Musah;MF,FW;21;Milan
Emerson;DF;25;Milan
Álex Jiménez;MF,DF;19;Milan
Álvaro Morata;FW,MF;31;Milan
Tammy Abraham;FW;26;Milan
Ruben Loftus-Cheek;MF;28;Milan
Samuel Chukwueze;MF,FW;25;Milan
João Félix;MF;24;Milan
Santiago Giménez;FW;23;Milan
Kyle Walker;DF;34;Milan
Luka Jović;FW;26;Milan
Filippo Terracciano;DF,MF;21;Milan
Noah Okafor;FW,MF;24;Milan
Davide Calabria;DF;27;Milan
Ismaël Bennacer;MF;26;Milan
Warren Bondo;MF;20;Milan
Francesco Camarda;FW;16;Milan
Marco Sportiello;GK;32;Milan
Riccardo Sottil;MF;25;Milan
Davide Bartesaghi;DF;18;Milan
Alexis Saelemaekers;DF;25;Milan
Mattia Liberali;MF;17;Milan
Kevin Zeroli;MF;19;Milan
Alessandro Florenzi;DF,FW;33;Milan
Bob Murphy Omoregbe;FW;20;Milan
Hugo Cuenca;MF;19;Milan
Lapo Nava;GK;20;Milan
Noah Raveyre;GK;19;Milan
Lorenzo Torriani;GK;19;Milan
Silvano Vos;MF;19;Milan
Walter Benítez;GK;31;PSV Eindhoven
Ryan Flamingo;DF;21;PSV Eindhoven
Olivier Boscagli;DF;26;PSV Eindhoven
Luuk de Jong;FW;33;PSV Eindhoven
Guus Til;MF;26;PSV Eindhoven
Mauro Júnior;DF,MF;25;PSV Eindhoven
Noa Lang;FW,MF;25;PSV Eindhoven
Malik Tillman;MF,FW;22;PSV Eindhoven
Joey Veerman;MF;25;PSV Eindhoven
Ivan Perišić;FW,MF;35;PSV Eindhoven
Richy Ledezma;DF;23;PSV Eindhoven
Ismael Saibari;MF;23;PSV Eindhoven
Johan Bakayoko;FW,MF;21;PSV Eindhoven
Jerdy Schouten;MF;27;PSV Eindhoven
Matteo Dams;DF;20;PSV Eindhoven
Rick Karsdorp;DF;29;PSV Eindhoven
Ricardo Pepi;FW;21;PSV Eindhoven
Armando Obispo;DF;25;PSV Eindhoven
Sergiño Dest;DF;23;PSV Eindhoven
Tyrell Malacia;DF;24;PSV Eindhoven
Fredrik Oppegard;DF;21;PSV Eindhoven
Hirving Lozano;FW;29;PSV Eindhoven
Isaac Babadi;MF;19;PSV Eindhoven
Adamo Nagalo;DF;21;PSV Eindhoven
Couhaib Driouech;FW,MF;22;PSV Eindhoven
Joel Drommel;GK;27;PSV Eindhoven
Jordan Teze;DF,MF;24;PSV Eindhoven
Tygo Land;MF;18;PSV Eindhoven
Esmir Bajraktarevic;MF;19;PSV Eindhoven
Lucas Pérez;FW,MF;35;PSV Eindhoven
Wessel Kuhn;DF;17;PSV Eindhoven
Michael Bresser;DF;17;PSV Eindhoven
Tay Abed;MF;20;PSV Eindhoven
Emmanuel van de Blaak;DF;19;PSV Eindhoven
Niek Schiks;GK;20;PSV Eindhoven
Tijn Smolenaars;GK;19;PSV Eindhoven
Jesper Uneken;FW;19;PSV Eindhoven
Bradley Barcola;FW;21;Paris Saint-Germain
Gianluigi Donnarumma;GK;25;Paris Saint-Germain
Achraf Hakimi;DF;25;Paris Saint-Germain
Willian Pacho;DF;22;Paris Saint-Germain
Warren Zaïre-Emery;MF,DF;18;Paris Saint-Germain
Lucas Beraldo;DF;20;Paris Saint-Germain
João Neves;MF,DF;19;Paris Saint-Germain
Fabián Ruiz Peña;MF;28;Paris Saint-Germain
Vitinha;MF;24;Paris Saint-Germain
Ousmane Dembélé;FW;27;Paris Saint-Germain
Marquinhos;DF;30;Paris Saint-Germain
Nuno Mendes;DF;22;Paris Saint-Germain
Lee Kang-in;FW,MF;23;Paris Saint-Germain
Désiré Doué;MF,FW;19;Paris Saint-Germain
Gonçalo Ramos;FW;23;Paris Saint-Germain
Khvicha Kvaratskhelia;FW;23;Paris Saint-Germain
Lucas Hernández;DF;28;Paris Saint-Germain
Matvei Safonov;GK;25;Paris Saint-Germain
Senny Mayulu;MF;18;Paris Saint-Germain
Marco Asensio;FW,MF;28;Paris Saint-Germain
Milan Škriniar;DF;29;Paris Saint-Germain
Ibrahim Mbaye;FW;16;Paris Saint-Germain
Randal Kolo Muani;FW;25;Paris Saint-Germain
Yoram Zague;DF;18;Paris Saint-Germain
Axel Tapé;DF;16;Paris Saint-Germain
Arnau Tenas;GK;23;Paris Saint-Germain
Noham Kamara;DF;17;Paris Saint-Germain
Presnel Kimpembe;DF;28;Paris Saint-Germain
Naoufel El Hannach;DF;17;Paris Saint-Germain
Louis Mouquet;GK;20;Paris Saint-Germain
Quentin Ndjantou Mbitcha;FW;17;Paris Saint-Germain
Wassim Slama;MF;15;Paris Saint-Germain
Carlos Soler;MF;27;Paris Saint-Germain
Anatolii Trubin;GK;22;Benfica
Álvaro Carreras;DF;21;Benfica
Nicolás Otamendi;DF;36;Benfica
Orkun Kökçü;MF;23;Benfica
Fredrik Aursnes;MF;28;Benfica
Tomás Araújo;DF;22;Benfica
Vangelis Pavlidis;FW;25;Benfica
Kerem Aktürkoğlu;FW,MF;25;Benfica
Florentino Luís;MF;24;Benfica
António Silva;DF;20;Benfica
Ángel Di María;FW,MF;36;Benfica
Alexander Bah;DF;26;Benfica
Leandro Barreiro Martins;MF;24;Benfica
Zeki Amdouni;MF,FW;23;Benfica
Samuel Dahl;MF,DF;21;Benfica
Jan-Niklas Beste;DF,MF;25;Benfica
Bruma;FW,MF;29;Benfica
Andrea Belotti;FW;30;Benfica
Gianluca Prestianni;MF;18;Benfica
Andreas Schjelderup;FW;20;Benfica
Leandro Santos;MF;18;Benfica
