Player,Age,Team,Posicion
Lucas Digne,31,Aston Villa,DF
John McGinn,29,Aston Villa,MF
Matty Cash,26,Aston Villa,DF
Pau Torres,27,Aston Villa,DF
Boubacar Kamara,24,Aston Villa,MF
Amadou Onana,22,Aston Villa,MF
Jacob Ramsey,23,Aston Villa,MF
Leon Bailey,26,Aston Villa,MF
Tyrone Mings,31,Aston Villa,DF
Ian Maatsen,22,Aston Villa,DF
Marco Asensio,28,Aston Villa,MF
Diego Carlos,31,Aston Villa,DF
Axel Disasi,26,Aston Villa,DF
Lamare Bogarde,20,Aston Villa,DF
Andrés García,21,Aston Villa,DF
Jáder Durán,20,Aston Villa,FW
Marcus Rashford,26,Aston Villa,FW
Ross Barkley,30,Aston Villa,MF
Jaden Philogene Bidace,22,Aston Villa,MF
Donyell Malen,25,Aston Villa,MF
Robin Olsen,34,Aston Villa,GK
Kosta Nedeljković,18,Aston Villa,DF
Emi Buendía,27,Aston Villa,FW
Benjamin Broggio,17,Aston Villa,MF
Joe Gauci,24,Aston Villa,GK
Jamaldeen Jimoh,17,Aston Villa,MF
Sil Swinkels,20,Aston Villa,DF
Kadan Young,18,Aston Villa,MF
Oliwier Zych,20,Aston Villa,GK
Marco Carnesecchi,24,Atalanta,GK
Marten de Roon,33,Atalanta,MF
Éderson Silva,25,Atalanta,MF
Berat Djimsiti,31,Atalanta,DF
Mateo Retegui,25,Atalanta,FW
Ademola Lookman,26,Atalanta,MF
Raoul Bellanova,24,Atalanta,MF
Isak Hien,25,Atalanta,DF
Davide Zappacosta,32,Atalanta,MF
Charles De Ketelaere,23,Atalanta,MF
Mario Pašalić,29,Atalanta,MF
Sead Kolašinac,31,Atalanta,DF
Matteo Ruggeri,22,Atalanta,MF
Odilon Kossounou,23,Atalanta,DF
Marco Brescianini,24,Atalanta,MF
Lazar Samardzic,22,Atalanta,MF
Juan Cuadrado,36,Atalanta,MF
Stefan Posch,27,Atalanta,DF
Giorgio Scalvini,20,Atalanta,DF
