player,position,country
Valerii Bondar,CB,ua UKR
Vanderson,LB,br BRA
Vangelis Pavlidis,FW,gr GRE
Vanja Drkušić,CB,si SVN
Vasilije Adžić,FW,me MNE
Veljko Birmancevic,RW,rs SRB
Victor Boniface,FW,ng NGA
Victor Olatunji,FW,ng NGA
Viggo Gebel,RB,de GER
Viktor Gyökeres,FW,se SWE
Viktor Tsyhankov,RW,ua UKR
Vinicius Júnior,LW,br BRA
Vinicius Tobias,RB,br BRA
Virgilvan Dijk,CB,nl NED
Vitinha,CM,pt POR
Vladimír Weiss,LW,sk SVK
Waldemar Anton,CB,de GER
Walter Benítez,GK,ar ARG
Warren Zaïre-Emery,RM,fr FRA
Wataru Endo,DM,jp JPN
Wessel Kuhn,LW,nl NED
Weston Mc Kennie,RM,us USA
Wilfried Singo,RB,ci CIV
Willi Orban,CB,hu HUN
William Bøving,AM,dk DEN
William Saliba,CB,fr FRA
William Vick,AM,dk DEN
Willian Pacho,CB,ec ECU
Xavi Simons,LM,nl NED
Yan Couto,RM,br BRA
Yang Hyunjun,RW,kr KOR
Yangel Herrera,DM,ve VEN
Yann Aurel Bisseck,CB,de GER
Yann Sommer,GK,ch SUI
Yannik Keitel,DM,de GER
Yaser Asprilla,LW,co COL
Younes Lachaab,LM,fr FRA
Youri Tielemans,DM,be BEL
Youssouf Fofana,DM,fr FRA
Yukhym Konoplia,RB,ua UKR
Yunus Musah,CM,us USA
Yussuf Poulsen,FW,dk DEN
Zachary Athekame,RB,ch SUI
Zeki Amdouni,FW,ch SUI
Zeno Debast,CB,be BEL
Zuberu Sharani,LB,gh GHA
ismael Saibari,LM,ma MAR
matheus Reis,CB,br BRA
Álex Grimaldo,WB,es ESP
Álex Valle,LB,es ESP
Álvaro Carreras,LB,es ESP
Álvaro Morata,FW,es ESP
Ángel Correa,AM,ar ARG
Ángel Di María,RW,ar ARG
Ángelo Preciado,RM,ec ECU
Éder Militão,CB,br BRA
Éderson,CM,br BRA
İlkay Gündoğan,CM,de GER
,GK,pl POL
