player,position,country
Kyogo Furuhashi,FW,jp JPN
Kyriakos Savvidis,DM,gr GRE
Kyriani Sabbe,RB,be BEL
Kévin Théophile-Catherine,CB,fr FRA
Ladislav Krejčí,CB,cz CZE
Lamare Bogarde,RB,nl NED
Lamine Camara,DM,sn SEN
Lamine Yamal,RW,es ESP
Lassina Franck Traoré,FW,bf BFA
Lautaro Martínez,FW,ar ARG
Lazar Samardzic,AM,rs SRB
Leandro Barreiro Martins,CM,lu LUX
Leandro Morgalla,RB,de GER
Leandro Trossard,FW,be BEL
Lee Kang-in,LM,kr KOR
Leon Bailey,RW,jm JAM
Leon Goretzka,DM,de GER
Leon Grgic,FW,hr CRO
Leon Jakirovic,CB,hr CRO
Leonidas Stergiou,RB,ch SUI
Leroy Sané,RW,de GER
Lewin Blum,RB,ch SUI
Lewis Ferguson,AM,sct SCO
Liam Scales,CB,ie IRL
Lorenzo Torriani,GK,it ITA
Loris Benito,CB,ch SUI
Lovro Zvonarek,AM,hr CRO
Loïs Openda,FW,be BEL
Lucas Beraldo,LB,br BRA
Lucas Chevalier,GK,fr FRA
Lucas Digne,LB,fr FRA
Lucas Gourna-Douath,LM,fr FRA
Lucas Hernández,LB,fr FRA
Lucas Michal,AM,fr FRA
Lucas Vázquez,RB,es ESP
Ludovic Ajorque,FW,fr FRA
Luis Díaz,LW,co COL
Luis Enrique Palma,LW,hn HON
Luka Ivanušec,CM,hr CRO
Luka Modric,DM,hr CRO
Luka Stojkovic,CM,hr CRO
Lukas Haraslin,LW,sk SVK
Lukas Kacavenda,LM,hr CRO
Lukas Klostermann,CB,de GER
Lukas Sadilek,CM,cz CZE
Lukasz Lakomy,CM,pl POL
Lukasz Skorupski,GK,pl POL
Luke Mc Cowan,RM,sct SCO
Lukáš Hrádecký,GK,fi FIN
Lukáš Pauschek,LB,sk SVK
Lukáš Penxa,WB,cz CZE
Lukáš Sadílek,CM,cz CZE
Lutsharel Geertruida,RB,nl NED
Luuk de Jong,FW,nl NED
Maarten Vandevoordt,GK,be BEL
Mads Bidstrup,RM,dk DEN
Maghnes Akliouche,RW,fr FRA
Mahdi Camara,RM,fr FRA
Malick Thiaw,CB,de GER
Malick Yalcouye,RM,ci CIV
Malik Tillman,LW,us USA
Mama Samba Baldé,RW,gw GNB
Mamady Diambou,RB,ml MLI
Manuel Akanji,RB,ch SUI
Manuel Locatelli,CM,it ITA
Manuel Neuer,GK,de GER
Marc Casado,DM,es ESP
Marc-Andréter Stegen,GK,de GER
Marcel Sabitzer,RW,at AUT
Marco Asensio,FW,es ESP
Marco Bizot,GK,nl NED
Marco Brescianini,AM,it ITA
Marco Carnesecchi,GK,it ITA
Marco Palestra,AM,it ITA
Marcos Llorente,WB,es ESP
Marcus Edwards,AM,eng ENG
Marcus Thuram,FW,fr FRA
Mario Pasalic,FW,hr CRO
Mario Pašalić,CM,hr CRO
Marko Ilic,FW,at AUT
Marko Pjaca,FW,hr CRO
Marko Rog,CM,hr CRO
Marko Tolic,AM,hr CRO
Markus Solbakken,CM,no NOR
Marlon Gomes,DM,br BRA
Marquinhos,CB,br BRA
Martende Roon,CM,nl NED
Martin Baturina,CM,hr CRO
Martin Erlic,CB,hr CRO
Martin Suchomel,LM,cz CZE
Martin Terrier,AM,fr FRA
Martin Vitík,CB,cz CZE
MartinØdegaard,CM,no NOR
Marvin Keller,GK,ch SUI
Massadio Haïdara,LB,ml MLI
Matej Kovar,GK,cz CZE
Matej Rynes,LM,cz CZE
Mateo Kovacic,GK,rs SRB
Mateo Retegui,FW,it ITA
Matheus Nunes,DM,pt POR
Matheus Reis,CB,br BRA
Mathias Pereira Lage,LW,pt POR
Mathias Ross,CB,dk DEN
Mathys Tel,LM,fr FRA
Matias Fernandez-Pardo,FW,be BEL
Matteo Dams,LB,be BEL
Matteo Darmian,WB,it ITA
Matteo Gabbia,CB,it ITA
Matteo Ruggeri,WB,it ITA
Mattia Perin,GK,it ITA
Matty Cash,RB,pl POL
Matvei Safonov,GK,ru RUS
Matúš Vojtko,LB,sk SVK
Maurits Kjærgaard,LM,dk DEN
Mauro Júnior,LB,br BRA
Max Johnston,RB,sct SCO
Maxim De Cuyper,LB,be BEL
Maxime Bernauer,CB,fr FRA
Maximilian Beier,FW,de GER
Maximilian Mittelstädt,LB,de GER
Maximiliano Araújo,WB,uy URU
Mehdi Taremi,FW,ir IRN
Meschak Elia,FW,cd COD
Michael Olise,RW,fr FRA
Michal Skoras,DM,hr CRO
Michał Skóraś,RM,pl POL
Michel Aebischer,CM,ch SUI
Michele Di Gregorio,GK,it ITA
Miguel Chaiwa,RW,zm ZAM
Miguel Gutiérrez,LB,es ESP
Mika Biereth,FW,dk DEN
Mike Maignan,GK,fr FRA
Mikel Merino,CM,es ESP
Milson,LW,ao ANG
Mirko Ivanic,CB,rs SRB
Mitchel Bakker,LB,nl NED
Mohamed Aly Camara,CB,gn GUI
Mohamed Lamine Bayo,FW,gn GUI
Mohamed Salah,RW,eg EGY
Mohammed Salisu,CB,gh GHA
Morgan Rogers,AM,eng ENG
Morten Hjulmand,CM,dk DEN
Moussa Kounfolo Yeo,FW,ml MLI
Mykola Matviyenko,CB,ua UKR
Myles Lewis-Skelly,LM,eng ENG
Nahuel Molina,AM,ar ARG
Nasser Djiga,CB,bf BFA
Nathan Aké,LB,nl NED
Nathan Butler-Oyedeji,LW,eng ENG
Nathan Tella,FW,ng NGA
Nathanael Mbuku,RW,cd COD
Nemanja Radonjic,AM,me MNE
Nene Dorgeles,RW,ml MLI
Neto,GK,br BRA
Newerton,LW,br BRA
Ngal'Ayel Mukau,CM,cd COD
Nico O’Reilly,FW,eng ENG
Nico Schlotterbeck,CB,de GER
Nicolas Seiwald,CM,at AUT
Nicolas-Gerrit Kühn,RW,de GER
Nicolás Capaldo,RM,ar ARG
Nicolás González,RW,ar ARG
Nicolás Otamendi,CB,ar ARG
Nicolò Barella,CM,it ITA
Nicolò Fagioli,LW,it ITA
Nicolò Zaniolo,FW,it ITA
NicolòCasale,CB,it ITA
NicolòFagioli,DM,it ITA
NicolòSavona,RB,it ITA
NicolòZaniolo,FW,it ITA
Niklas Geyrhofer,CB,at AUT
Niklas Süle,CB,de GER
Nikola Moro,LM,hr CRO
Nino Marcelli,RW,sk SVK
Noa Lang,RM,nl NED
Noah Okafor,AM,ch SUI
Nordi Mukiele,RB,fr FRA
Nuno Mendes,LB,pt POR
Nuno Santos,WB,pt POR
Odilon Kossounou,CB,ci CIV
Ognjen Mimovic,RB,rs SRB
Oleksander Zubkov,RW,ua UKR
Oleksandr Zinchenko,LB,ua UKR
Olivier Boscagli,CB,fr FRA
Ollie Watkins,FW,eng ENG
Omri Glazer,GK,il ISR
Oriol Romeu,DM,es ESP
Orkun Kökçü,DM,tr TUR
